"","x"
"1","0002bcb3da6cb337"
"2","0005c987bdfc9d4b"
"3","0007e25b2121310b"
"4","001810bf8c45bf5f"
"5","00190820581d90ce"
"6","001956c382006abd"
"7","001dc38a83d420cf"
"8","0020e7119b96eeeb"
"9","0020fd96ed3b8c8b"
"10","0021fe88bc4da3e6"
"11","002264ea4d5f2887"
"12","0028d62e8a5629aa"
"13","003217c3eb469ba9"
"14","0036621e4c7e10b5"
"15","00472b8e2d38d1ea"
"16","005f59485fcddeb0"
"17","00637960a7ec3436"
"18","00686325bcc16080"
"19","006b94add72ed61c"
"20","006e87872c8b370c"
"21","007f1839ada915e6"
"22","0082b5a7b4a67da2"
"23","0086998b34865f93"
"24","008e0818dde894fb"
"25","009371b0ef213487"
"26","0097dd5c29bf7a15"
"27","00ab65775c601cf9"
"28","00afb4dec99a231f"
"29","00b77cb600c897b4"
"30","00be7dcac98dc95d"
"31","00c0b8ed05ed7833"
"32","00c1b6962307c80e"
"33","00c59720428c985a"
"34","00cce3996a16c116"
"35","00d1d2f4f247d472"
"36","00d429d337eaa672"
"37","00d7a73eb033ee5e"
"38","00db176890cd71bf"
"39","00dc0760994133ff"
"40","00f59a92085d27ab"
"41","0109d5a4788850f7"
"42","01113aece2e95a73"
"43","01166f26ee280e56"
"44","011d0c0a6c8e5765"
"45","011e2c96cfa8a055"
"46","01208d2b76624130"
"47","0125f95ac41f6cea"
"48","013ad5246f4b953b"
"49","014c96f873db11ff"
"50","0152f55962c4f707"
"51","015bf1bda7ab6b9c"
"52","015c99386399aa14"
"53","015d1b0bb4cc744d"
"54","016309265c788dc1"
"55","018663f910e0bfe6"
"56","018942e044417b74"
"57","018e6f1e1b18723a"
"58","0199d6af27b715f3"
"59","019ab9a91e7fcdbe"
"60","019c4ce48e6bfbab"
"61","01a004866d1dd4e0"
"62","01a04eaa73dc98ab"
"63","01b1926bc5c1cc78"
"64","01b9aa85cc61c03f"
"65","01bb5130bb7d6cba"
"66","01bed0edcd09824a"
"67","01bf0d4342ec4a2e"
"68","01c7c962932560ee"
"69","01ce75675a501e50"
"70","01d57127c5308743"
"71","01dbc875f2d85f66"
"72","01e3882f09660e23"
"73","01e7a01d501d578a"
"74","01f0f77e6e58b347"
"75","01f304185a18cb7b"
"76","01f467f73fb47c3e"
"77","01fa2f1880fecd30"
"78","01fb5b0525dd9b05"
